instance_id,generator_model,generation_strategy,intent,generated_text,latency_initial_sec,latency_retry_sec,retries_used,global_score,M_algorithm,M_mcts_iterations,M_branching_factor,M_max_depth,M_exploration_weight,M_nodes_expanded,M_rollouts,M_best_reward,M_best_hard_score,M_semantic_guidance,M_semantic_weight,M_tone_repair,M_tone_repair_used,M_rollout_policy,M_rollout_temperature,M_root_children,M_final_global_score,C_max_words,C_forbidden_words,C_tone,C_min_words,C_mandatory_words,C_exact_lines,C_format_json,C_required_json_keys
1,llama3,mcts,Write a short rejection email to a candidate.,Thank you for your interest in the position at our company.,41.56767296791077,0.0,0,1.0,mcts,24,2,4,1.414,1,24,0.8925553440958262,1.0,True,0.7,True,0,llm,0.9,2,1.0,True,True,True,,,,,
2,llama3,mcts,Explain the concept of arrays in JavaScript.,"In JavaScript, arrays are a type of data structure that stores multiple values in a single variable. message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message.",12.1177978515625,0.0,0,0.6666666666666666,mcts,24,2,4,1.414,1,24,1.0,0.6666666666666666,True,0.7,True,0,llm,0.9,2,,,,,True,True,,,
3,llama3,mcts,Write a short story about a cat's day.,[ [ A creative challenge!,151.1379415988922,0.0,0,1.0,mcts,24,2,4,1.414,13,24,0.8878452234685421,1.0,True,0.7,True,0,llm,0.9,2,1.0,True,True,True,,,,,
4,llama3,mcts,Generate JSON data for a fictional company.,"{""name"": ""Generate JSON data for a fictional company."", ""location"": ""Generate JSON data for a fictional company."", ""employees"": ""Generate JSON data for a fictional company.""}",11.84285831451416,0.0,0,0.6666666666666666,mcts,24,2,1,1.414,1,24,0.8363333333333334,0.6666666666666666,True,0.7,True,0,llm,0.9,2,,,,,,,False,True,True
5,llama3,mcts,Write an email to a colleague about a meeting.,"[ Here are two compact candidate actions: [{""Add the date""}, {""Will discuss important topics""}] [{""Schedule the details""}, {""Review key agenda items""}] meeting tomorrow.",201.3024082183838,0.0,0,1.0,mcts,24,2,4,1.414,13,24,0.8218373516425491,1.0,True,0.7,True,0,llm,0.9,2,1.0,True,,True,,True,,,
6,llama3,mcts,Explain the concept of object-oriented programming in Python.,Object-oriented programming (OOP) is a programming paradigm that uses concepts like classes and objects to define the behavior and state of an entity. message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message.,86.69322562217712,0.0,0,0.6666666666666666,mcts,24,2,4,1.414,1,24,1.0,0.6666666666666666,True,0.7,True,0,llm,0.9,2,,,True,,True,,,,
7,llama3,mcts,Write a poem about nature.,A poetic quest!,1.0596983432769775,0.0,0,1.0,mcts,24,2,4,1.414,8,24,0.8778261000335217,1.0,True,0.7,True,0,llm,0.9,2,1.0,True,True,True,,,,,
8,llama3,mcts,Generate JSON data for a fictional product.,"{""name"": ""Generate JSON data for a fictional product."", ""price"": ""Generate JSON data for a fictional product."", ""description"": ""Generate JSON data for a fictional product.""}",13.653902530670166,0.0,0,0.6666666666666666,mcts,24,2,1,1.414,1,24,0.8363333333333334,0.6666666666666666,True,0.7,True,0,llm,0.9,2,,,,,,,False,True,True
9,llama3,mcts,Write an email to a customer about a refund.,"Here are two compact candidate actions that meet the constraints: We'll expedite the refund process to ensure you receive the payment promptly [""We'll keep you updated on the refund status so you can track its progress""] We appreciate your patience and will keep you updated on the status of your refund thank you.",184.2897846698761,0.0,0,1.0,mcts,24,2,4,1.414,15,24,0.8347889370843768,1.0,True,0.7,True,0,llm,0.9,2,1.0,True,,True,,True,,,
10,llama3,mcts,Explain the concept of machine learning in AI.,Artificial intelligence refers to the simulation of human intelligence in machines that are programmed to think and learn from data. message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message message.,86.13745379447937,0.0,0,0.6666666666666666,mcts,24,2,4,1.414,1,24,1.0,0.6666666666666666,True,0.7,True,0,llm,0.9,2,,,True,,True,,,,
